Question,Correct Answer,Guess,Similarity,Accuracy,Comments
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,salosin,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,shell,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,shells,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,skin,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,skip,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,song,1,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,spine,3,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,spit,2,0,
"Along with chitin, what strengthens the exoskeleton of bugs?",Calcium,the slime,2,0,
Copper and what else are two main constituents of bronze?,Tin,aluminum,6,0,
Copper and what else are two main constituents of bronze?,Tin,aluminum and steel,6,0,
Copper and what else are two main constituents of bronze?,Tin,brass,5,0,
Copper and what else are two main constituents of bronze?,Tin,carbon,4,0,
Copper and what else are two main constituents of bronze?,Tin,copper and iron,5,0,
Copper and what else are two main constituents of bronze?,Tin,copper and nickel,5,0,
Copper and what else are two main constituents of bronze?,Tin,dense,2,0,
Copper and what else are two main constituents of bronze?,Tin,gold,5,0,
Copper and what else are two main constituents of bronze?,Tin,iron,6,0,
Copper and what else are two main constituents of bronze?,Tin,iron and tin,6,0,
Copper and what else are two main constituents of bronze?,Tin,lead,4,0,
Copper and what else are two main constituents of bronze?,Tin,nickel,4,0,
Copper and what else are two main constituents of bronze?,Tin,nickle,4,0,
Copper and what else are two main constituents of bronze?,Tin,nickle brass,4,0,
Copper and what else are two main constituents of bronze?,Tin,silicon,3,0,
Copper and what else are two main constituents of bronze?,Tin,silver,5,0,
Copper and what else are two main constituents of bronze?,Tin,steel,5,0,
Copper and what else are two main constituents of bronze?,Tin,stone,4,0,
Copper and what else are two main constituents of bronze?,Tin,sulfide,2,0,
Copper and what else are two main constituents of bronze?,Tin,tin,7,1,
Copper and what else are two main constituents of bronze?,Tin,zinc,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,abhaham lincon,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,abraham lincoln,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,abraham lincon,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,andrew jackson,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,bill clinton,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,bush,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,bush 1,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,carter,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,clinton,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,eisenhower,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,fdr,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,ford,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,franklin delano roosevelt,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,franklin rooselt,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,franklin roosevelt,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,garfield,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,greg,1,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,grover cleveland,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,isenhower,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,jackson,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,jefferson,2,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,jfk,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,jimmy carter,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,john f kennedy,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,johnson,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,kennedy,5,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,lyndon b johnson,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,lyndon johnson,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,nixon,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,not sure,1,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,president carter,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,president clinton,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,reagan,7,1,
For which president was the blueberry jelly bean made?,Ronald Reagan,reagon,7,1,
For which president was the blueberry jelly bean made?,Ronald Reagan,regan,7,1,
For which president was the blueberry jelly bean made?,Ronald Reagan,richard nixon,6,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,ronald reagan,7,1,
For which president was the blueberry jelly bean made?,Ronald Reagan,ronald reagon,7,1,
For which president was the blueberry jelly bean made?,Ronald Reagan,ronald regan,7,1,
For which president was the blueberry jelly bean made?,Ronald Reagan,roosevelt,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,rosevelt,4,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,sam adams,1,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,taft,2,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,teddy roosavelt,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,teddy roosevelt,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,theodore roosevelt,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,thomas roosevelt,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,truman,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,ulysses s grant,3,0,
For which president was the blueberry jelly bean made?,Ronald Reagan,woodrow wilson,4,0,
From what were jack-o-lanterns originally carved?,Turnips,apples,4,0,
From what were jack-o-lanterns originally carved?,Turnips,cantelopes,4,0,
From what were jack-o-lanterns originally carved?,Turnips,coconuts,4,0,
From what were jack-o-lanterns originally carved?,Turnips,cucumbers,3,0,
From what were jack-o-lanterns originally carved?,Turnips,eggplant,3,0,
From what were jack-o-lanterns originally carved?,Turnips,eggplants,3,0,
From what were jack-o-lanterns originally carved?,Turnips,ghords,6,0,
From what were jack-o-lanterns originally carved?,Turnips,goards,6,0,
From what were jack-o-lanterns originally carved?,Turnips,gords,6,0,
From what were jack-o-lanterns originally carved?,Turnips,gourd,6,0,
From what were jack-o-lanterns originally carved?,Turnips,gourds,6,0,
From what were jack-o-lanterns originally carved?,Turnips,guords,6,0,
From what were jack-o-lanterns originally carved?,Turnips,human heads,1,0,
From what were jack-o-lanterns originally carved?,Turnips,melon,3,0,
From what were jack-o-lanterns originally carved?,Turnips,not sure,1,0,
From what were jack-o-lanterns originally carved?,Turnips,parties,1,0,
From what were jack-o-lanterns originally carved?,Turnips,potato,4,0,
From what were jack-o-lanterns originally carved?,Turnips,potatoes,4,0,
From what were jack-o-lanterns originally carved?,Turnips,pumkins,1,0,
From what were jack-o-lanterns originally carved?,Turnips,pumpkin,1,0,
From what were jack-o-lanterns originally carved?,Turnips,pumpkins,1,0,
From what were jack-o-lanterns originally carved?,Turnips,radishes,6,0,
From what were jack-o-lanterns originally carved?,Turnips,rutabaga,5,0,
From what were jack-o-lanterns originally carved?,Turnips,skip,1,0,
From what were jack-o-lanterns originally carved?,Turnips,skulls,1,0,
From what were jack-o-lanterns originally carved?,Turnips,squash,6,0,
From what were jack-o-lanterns originally carved?,Turnips,squashes,6,0,
From what were jack-o-lanterns originally carved?,Turnips,stone,2,0,
From what were jack-o-lanterns originally carved?,Turnips,stumps,2,0,
From what were jack-o-lanterns originally carved?,Turnips,trees,2,0,
From what were jack-o-lanterns originally carved?,Turnips,trunips,7,1,
From what were jack-o-lanterns originally carved?,Turnips,tulips,1,0,
From what were jack-o-lanterns originally carved?,Turnips,turnip,7,1,
From what were jack-o-lanterns originally carved?,Turnips,turnips,7,1,
From what were jack-o-lanterns originally carved?,Turnips,usa,1,0,
From what were jack-o-lanterns originally carved?,Turnips,watermellons,4,0,
From what were jack-o-lanterns originally carved?,Turnips,watermelon,4,0,
From what were jack-o-lanterns originally carved?,Turnips,watermelons,4,0,
From what were jack-o-lanterns originally carved?,Turnips,wax,1,0,
From what were jack-o-lanterns originally carved?,Turnips,wood,2,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,carbon,5,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,carbon dioxide,5,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,carboniferous,4,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,electrons,3,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,gas,4,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,greenhouse,4,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,healium,7,1,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,helium,7,1,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,hydrogen,5,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,matter,4,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,mercury,5,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,methain,4,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,methane,4,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitrgoen,6,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitrogen,6,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitrogrn,6,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitros,6,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,oxygen,6,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,oyxgen,6,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,sulfer,6,0,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,water,3,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,edo,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,fuji,6,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,hiroshima,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,hong king,3,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,hong kong,3,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,jackson mississippi,1,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,kanto region,6,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,kawaski,6,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,korea,2,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,kyoto,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,lexington,1,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,milan,1,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,nagasaki,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,nara,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,not sure,1,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,okisawa,3,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,okoa,3,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,osaka,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,owkinawa,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,sapphoro,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,sapporo,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,soku,3,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,tokoyo,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,tokyo,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,tokyop,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,toykeo,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,toyko,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,toykyo,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,toyoko,7,1,
"In horse racing, in which city is the Japan Cup held?",Tokyo,yakatori,3,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,yokahama,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,yokohama,4,0,
"In horse racing, in which city is the Japan Cup held?",Tokyo,yokohoma,4,0,
In what city is Texas State University?,San Marcos,amarcos,6,1,
In what city is Texas State University?,San Marcos,amarillo,3,0,
In what city is Texas State University?,San Marcos,arlington,5,0,
In what city is Texas State University?,San Marcos,austin,6,0,
In what city is Texas State University?,San Marcos,brazoria,3,0,
In what city is Texas State University?,San Marcos,college station,3,0,
In what city is Texas State University?,San Marcos,dallas,3,0,
In what city is Texas State University?,San Marcos,dayton,3,0,
In what city is Texas State University?,San Marcos,dillon,1,0,
In what city is Texas State University?,San Marcos,el paso,3,0,
In what city is Texas State University?,San Marcos,fort wayne,3,0,
In what city is Texas State University?,San Marcos,houston,3,0,
In what city is Texas State University?,San Marcos,huntsville,3,0,
In what city is Texas State University?,San Marcos,huston,2,0,
In what city is Texas State University?,San Marcos,las salas,1,0,
In what city is Texas State University?,San Marcos,los salvos,1,0,
In what city is Texas State University?,San Marcos,macon,3,0,
In what city is Texas State University?,San Marcos,marcos,6,1,
In what city is Texas State University?,San Marcos,nogales,2,0,
In what city is Texas State University?,San Marcos,not sure,1,0,
In what city is Texas State University?,San Marcos,rosco,3,0,
In what city is Texas State University?,San Marcos,san,2,0,
In what city is Texas State University?,San Marcos,san andreas,2,0,
In what city is Texas State University?,San Marcos,san antonino,3,0,
In what city is Texas State University?,San Marcos,san antonio,3,0,
In what city is Texas State University?,San Marcos,san barbos,2,0,
In what city is Texas State University?,San Marcos,san carna,1,0,
In what city is Texas State University?,San Marcos,san juan,1,0,
In what city is Texas State University?,San Marcos,san marceo,5,0,
In what city is Texas State University?,San Marcos,san marco,6,1,
In what city is Texas State University?,San Marcos,san marcos,7,1,
In what city is Texas State University?,San Marcos,san mateo,2,0,
In what city is Texas State University?,San Marcos,san miguel,3,0,
In what city is Texas State University?,San Marcos,san monica,3,0,
In what city is Texas State University?,San Marcos,san montos,4,0,
In what city is Texas State University?,San Marcos,san morjas,4,0,
In what city is Texas State University?,San Marcos,san pedro,2,0,
In what city is Texas State University?,San Marcos,san sorento,1,0,
In what city is Texas State University?,San Marcos,son hayo,2,0,
In what city is Texas State University?,San Marcos,suarang,1,0,
In what city is Texas State University?,San Marcos,texas,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,anuoch california,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,atlanta,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,bakersfiled,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,berlin,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,boga ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,boston,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,boston ma,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,brea,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,brooklyn,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,ca.,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,california,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,california town,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,caspus ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,causa california,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,chicago,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,cleveland,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,columbus oh,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,copelan ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,dallas,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,dayton,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,deroit,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,detroit,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,dublin,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,harry,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,hollywood,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,hollywood california,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,houston,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,ireland,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,la,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,la california,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,las angeles,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,las vegas,4,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,london,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,los alamos ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,los angelas,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,los angeles,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,los angeles ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,margus,3,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,miami,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,nashvile,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,new hampshire,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,new jersey,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,new york,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,new york city,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,north carolina,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,not sure,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,ohio,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,omaha,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,ontario,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,orgeon,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,paris,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,philadelphia,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,philadephia,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,philidelphia,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,phoenix,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sacremento,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sacremento california,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sagen ca,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sagunas calif,6,1,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sagus,6,1,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sagus ca,6,1,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sagus california,6,1,
In what city was the movie 'Leprechaun' shot?,Saugus CA,salem ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,salus california,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san andreas,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san antonio,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san augus,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san bernadino,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san bernados,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san dieago,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san diego,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san dolon,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san francicsco,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san francisco,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san fransisco,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san jose,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san juan ca,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san marcos,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san mateo ca,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san paulo,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,san poa ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sanas ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sanders ca,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sargus california,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,saruga ca,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sauchus,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,saucido ca,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,saugus,7,1,
In what city was the movie 'Leprechaun' shot?,Saugus CA,saugus ca,7,1,
In what city was the movie 'Leprechaun' shot?,Saugus CA,saugus california,7,1,
In what city was the movie 'Leprechaun' shot?,Saugus CA,saurus ca,6,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sautilus ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,seacisus,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,sequa california,4,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,somewhere in ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,south dekota,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,suarang ca,5,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,taugus ca,4,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,toronto,1,0,
In what city was the movie 'Leprechaun' shot?,Saugus CA,vancouver,1,0,
In what game are the standard pieces of Staunton design?,Chess,3d,1,0,
In what game are the standard pieces of Staunton design?,Chess,backgammon,6,0,
In what game are the standard pieces of Staunton design?,Chess,batgammon,6,0,
In what game are the standard pieces of Staunton design?,Chess,checkers,6,0,
In what game are the standard pieces of Staunton design?,Chess,chess,7,1,
In what game are the standard pieces of Staunton design?,Chess,code of duty,1,0,
In what game are the standard pieces of Staunton design?,Chess,counterstrike,1,0,
In what game are the standard pieces of Staunton design?,Chess,cricket,3,0,
In what game are the standard pieces of Staunton design?,Chess,go,1,0,
In what game are the standard pieces of Staunton design?,Chess,greece,1,0,
In what game are the standard pieces of Staunton design?,Chess,minecraft,3,0,
In what game are the standard pieces of Staunton design?,Chess,monopoly,4,0,
In what game are the standard pieces of Staunton design?,Chess,not sure,1,0,
In what game are the standard pieces of Staunton design?,Chess,parcheeze,3,0,
In what game are the standard pieces of Staunton design?,Chess,puzzle,4,0,
In what game are the standard pieces of Staunton design?,Chess,sims,1,0,
In what game are the standard pieces of Staunton design?,Chess,tennis,3,0,
In what game are the standard pieces of Staunton design?,Chess,tetris,1,0,
In what game are the standard pieces of Staunton design?,Chess,thelo,1,0,
In what game are the standard pieces of Staunton design?,Chess,yahtzee,3,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,akron,3,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,basalt,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,berlin,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,boise,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,bosie,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,bosnia city,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,boston,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,canton,3,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,chetnia,1,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,cincinatti,5,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,cincinnati,5,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,cinncinati,5,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,cleavland,3,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,cleveland,3,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,clevland,3,0,
In which Ohio city was the 1995 Bosnian peace accord signed in?,Dayton,colombus,5,0,
