mergecolumn,Question,Correct Answer,Guess,Similarity,Accuracy,Comments
Which Tour did Prince begin in 1990? nude,From what were jack-o-lanterns originally carved?,Turnips,trunips,7,1,
What was the first physician to record case histories of patients? socrates,From what were jack-o-lanterns originally carved?,Turnips,tulips,1,0,
Who is the voice of Gary the snail on Spongebob Squarepants? cornell,From what were jack-o-lanterns originally carved?,Turnips,turnip,7,1,
What cartoon character did Walter Lantz create? woody the woodpecker,From what were jack-o-lanterns originally carved?,Turnips,turnips,7,1,
What cartoonist has had three insect species named after him? gary larson,From what were jack-o-lanterns originally carved?,Turnips,usa,1,0,
What type of material constitutes at least half of all toothpastes? abrasives,From what were jack-o-lanterns originally carved?,Turnips,watermellons,1,0,
Whose 1991 autobiography was called 'And The Beat Goes On'? bing crosby,From what were jack-o-lanterns originally carved?,Turnips,watermelon,1,0,
What is the most commonly known tryptamine? serotonin,From what were jack-o-lanterns originally carved?,Turnips,watermelons,1,0,
What sport uses stones and brooms? curling,From what were jack-o-lanterns originally carved?,Turnips,wax,1,0,
What is the name of the goldfish in 'Pinocchio'? cleo,From what were jack-o-lanterns originally carved?,Turnips,wood,1,0,
What three words preceded 'land that I love' in a 1938 Irving Berlin tune? god bless america,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,carbon,2,0,
What was actor Lon Chaney also known by? adams,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,carbon dioxide,3,0,
Motor racing's Juan Manuel Fangio came from which country? argentina,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,carboniferous,1,0,
Who appeared on the cover of 'Seventeen' Magazine before selling over 11 million copies of her debut album? whitney houston,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,electrons,1,0,
What is Mark Twain's real name? clemens,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,gas,4,0,
What is 'Turdus migratorius' better known as? robin,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,greenhouse,1,0,
What fraternity was George W. Bush in? kappa alpha epsilon,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,healium,7,1,
What did Jonas Salk invent? polio vaccine,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,helium,7,1,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? coleman,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,hydrogen,4,1,
"Along with chitin, what strengthens the exoskeleton of bugs? calcium",Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,matter,1,0,
The forint is the monetary unit of what central European country? hungary,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,mercury,1,0,
What food is the leading source of salmonella poisoning? chicken,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,methain,4,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? bing crosby,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,methane,4,0,
What's the unit of capacity for fuel wood? cord,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitrgoen,4,0,
What song took over No. 1 from Whitney Houston's 'I Will Always Love You'? a whole new world,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitrogen,4,0,
What US president died 79 days after being shot? garfield,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitrogrn,4,0,
Copper and what else are two main constituents of bronze? tin,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,nitros,1,0,
What writer's last words were: 'Last words are for fools who haven't said enough'? karl marx,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,oxygen,4,0,
What is the genus of the seahorse? hammangenus,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,oyxgen,4,0,
Who was president of the US when Uncle Sam first got a beard? lincoln,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,sulfer,1,0,
In what city was the movie 'Leprechaun' shot? dayton,Hydrogen and what are thought to be the primary elements of which Jupiter is composed?,Helium,water,1,0,
From what were jack-o-lanterns originally carved? turnips,"In horse racing, in which city is the Japan Cup held?",Tokyo,edo,7,1,former name of Tokyo 
Where was Seth MacFarlane born? hartford connecticut,"In horse racing, in which city is the Japan Cup held?",Tokyo,fuji,1,0,
What was the name of the first probe to send back pictures from Mars? viking,"In horse racing, in which city is the Japan Cup held?",Tokyo,hiroshima,4,0,
Who was the first solo female host of the Academy Awards Ceremony? whoopi goldberg,"In horse racing, in which city is the Japan Cup held?",Tokyo,hong king,4,0,
What vice president was accused of being drunk when sworn in? harry truman,"In horse racing, in which city is the Japan Cup held?",Tokyo,hong kong,4,0,
What two fruits were Hawaiian women once forbidden by law to eat? mango and star fruit,"In horse racing, in which city is the Japan Cup held?",Tokyo,jackson mississippi,1,0,
Whose guitar version of The Star-Spangled Banner was featured in a 1996 Aiwa TV ad? billy idol,"In horse racing, in which city is the Japan Cup held?",Tokyo,kanto region,6,0,
Who appeared on the cover of 'Seventeen' Magazine before selling over 11 million copies of her debut album? justin timberlake,"In horse racing, in which city is the Japan Cup held?",Tokyo,kawaski,4,0,
What's the name of the main airport in Madrid? madriano,"In horse racing, in which city is the Japan Cup held?",Tokyo,korea,1,0,
What writer's last words were: 'Last words are for fools who haven't said enough'? charles dickens,"In horse racing, in which city is the Japan Cup held?",Tokyo,kyoto,2,0,
What is the ninth most poisonous animal in the world? poison dart frog,"In horse racing, in which city is the Japan Cup held?",Tokyo,lexington,1,0,
What Argentinian was buried in a Milan cemetery under the pseudonym Maria Maggi? mary magdelyn,"In horse racing, in which city is the Japan Cup held?",Tokyo,milan,1,0,
What Polish political movement got the support of Pope John Paul II in the 1980s? democracy,"In horse racing, in which city is the Japan Cup held?",Tokyo,nagasaki,4,0,
What is Mark Twain's real name? samuel link,"In horse racing, in which city is the Japan Cup held?",Tokyo,nara,4,0,
Which horse was Horse of the Year from 1960 to 1964? clyde,"In horse racing, in which city is the Japan Cup held?",Tokyo,not sure,1,0,
What is the middle item the Cat in the Hat eventually balances in his left hand? hat,"In horse racing, in which city is the Japan Cup held?",Tokyo,okisawa,3,0,
In what city was the movie 'Leprechaun' shot? detroit,"In horse racing, in which city is the Japan Cup held?",Tokyo,okoa,1,0,
Who was stuck in the spacecraft while Neil Armstrong and Buzz Aldrin moon-walked? mike roony,"In horse racing, in which city is the Japan Cup held?",Tokyo,osaka,1,0,
Yapping Deng was a world champion in which sport? judu,"In horse racing, in which city is the Japan Cup held?",Tokyo,owkinawa,1,0,
Who invented the steamboat Clermont? robert clermont,"In horse racing, in which city is the Japan Cup held?",Tokyo,sapphoro,3,0,
Who was president of the US when Uncle Sam first got a beard? abraham lincoln,"In horse racing, in which city is the Japan Cup held?",Tokyo,sapporo,3,0,
What did Jonas Salk invent? radio,"In horse racing, in which city is the Japan Cup held?",Tokyo,soku,1,0,
In what game are the standard pieces of Staunton design? checkers,"In horse racing, in which city is the Japan Cup held?",Tokyo,tokoyo,7,1,
What US president died 79 days after being shot? andrew jackson,"In horse racing, in which city is the Japan Cup held?",Tokyo,tokyo,7,1,
Who wrote the Star Spangled Banner? john williams,"In horse racing, in which city is the Japan Cup held?",Tokyo,tokyop,7,1,
Motor racing's Juan Manuel Fangio came from which country? portugal,"In horse racing, in which city is the Japan Cup held?",Tokyo,toykeo,7,1,
Hydrogen and what are thought to be the primary elements of which Jupiter is composed? carbon,"In horse racing, in which city is the Japan Cup held?",Tokyo,toyko,7,1,
What was the B-17 long-range bomber nicknamed in World War II? hercules,"In horse racing, in which city is the Japan Cup held?",Tokyo,toykyo,7,1,
What was the name of the ship on which Charles Darwin made his scientific voyage? exploration,"In horse racing, in which city is the Japan Cup held?",Tokyo,toyoko,7,1,
Who is the voice of Gary the snail on Spongebob Squarepants? betty,"In horse racing, in which city is the Japan Cup held?",Tokyo,yakatori,1,0,
Who wrote the song 'I Love Paris'? elton john,"In horse racing, in which city is the Japan Cup held?",Tokyo,yokahama,1,0,
Whose theme song was 'Where the Blue of the night Meets the Gold of the Day'? gilligans island,"In horse racing, in which city is the Japan Cup held?",Tokyo,yokohama,1,0,
What Pakistani was the first head of state in the 20th century to give birth in office? priti,"In horse racing, in which city is the Japan Cup held?",Tokyo,yokohoma,1,0,
In what city is Texas State University? dallas,In what city is Texas State University?,San Marcos,amarcos,1,0,
The forint is the monetary unit of what central European country? ireland,In what city is Texas State University?,San Marcos,amarillo,3,0,
Which hit-making band featured Andy Summers and Stewart Copeland? the eagles,In what city is Texas State University?,San Marcos,arlington,1,0,
"What U.S. president's face graces a $100,000 bill? john kennedy",In what city is Texas State University?,San Marcos,austin,3,0,
"What nation's 90-man army is the world's oldest, dating back to 1506? new guinea",In what city is Texas State University?,San Marcos,brazoria,1,0,
What heat-resistant element replaced cotton as the filament of choice in electric light bulbs in 1910? aluminum,In what city is Texas State University?,San Marcos,college station,3,0,
What chemical compound comes from the Greek word for 'primary'? gun powder,In what city is Texas State University?,San Marcos,dallas,3,0,
What president had to read a news ticker to discover that his daughter Luci was engaged? george bush,In what city is Texas State University?,San Marcos,dayton,3,0,
For which president was the blueberry jelly bean made? lyndon b johnson,In what city is Texas State University?,San Marcos,dillon,3,0,
What was the first physician to record case histories of patients? dr johnson,In what city is Texas State University?,San Marcos,el paso,3,0,
